序号,原表格行号,截图文件名,识别金额（元）,备注
1,2,image1.jpg,22.00,
2,3,image2.jpg,16.00,
3,4,image3.png,,需要人工核对
4,5,image4.png,12.30,
5,6,image5.png,,需要人工核对
6,7,image6.jpg,14.00,
7,8,image7.png,18.00,
8,9,image8.png,435.00,
9,10,image9.png,5,
10,11,image10.png,8.00,
11,12,image11.png,19.00,
12,13,image12.png,22.00,
13,14,image13.png,,需要人工核对
14,15,image14.png,47.00,
15,16,image15.png,,需要人工核对
16,17,image16.png,,需要人工核对
17,18,image17.png,,需要人工核对
18,19,image18.png,38.00,
19,20,image19.png,6,
20,21,image20.png,28.00,
21,22,image21.png,108.00,
22,23,image22.png,,需要人工核对
23,24,image23.png,36.00,
24,25,image24.png,5.00,
25,26,image26.png,,需要人工核对
26,27,image27.png,50.00,
27,28,image28.png,13.00,
28,29,image29.png,9.00,
29,30,image30.jpg,9.00,
30,31,image31.png,,需要人工核对
31,32,image32.png,,需要人工核对
32,33,image33.png,,需要人工核对
33,34,image34.png,14.00,
34,36,image35.png,5.00,
35,37,image36.png,8.00,
36,38,image37.jpg,9.00,
37,39,image38.png,3,
38,40,image39.png,14.00,
